output_file,output_type,figure_or_table_number,description,intended_use
figures_slides\figure_6b_qlp_subsamples_compact_r_eua.svg,SVG,Figure 6B,Compact slide QLP subsample figure for EUA Return,slides
figures_appendix\figure_7_qr_subsample_significance_heatmap.png,PNG,Figure 7,QR subsample significance heatmap,appendix
figures_appendix\figure_7_qr_subsample_significance_heatmap.pdf,PDF,Figure 7,QR subsample significance heatmap,appendix
figures_appendix\figure_7_qr_subsample_significance_heatmap.svg,SVG,Figure 7,QR subsample significance heatmap,appendix
figures_appendix\figure_8_qlp_significance_heatmap.png,PNG,Figure 8,QLP significance heatmap,appendix
figures_appendix\figure_8_qlp_significance_heatmap.pdf,PDF,Figure 8,QLP significance heatmap,appendix
figures_appendix\figure_8_qlp_significance_heatmap.svg,SVG,Figure 8,QLP significance heatmap,appendix
methodology_flow\figure_9_methodological_workflow.png,PNG,Figure 9,Methodological workflow,paper
methodology_flow\figure_9_methodological_workflow.pdf,PDF,Figure 9,Methodological workflow,paper
methodology_flow\figure_9_methodological_workflow.svg,SVG,Figure 9,Methodological workflow,paper
figures_slides\figure_10_empirical_strategy_slide.png,PNG,Figure 10,One-slide empirical strategy,slides
figures_slides\figure_10_empirical_strategy_slide.pdf,PDF,Figure 10,One-slide empirical strategy,slides
figures_slides\figure_10_empirical_strategy_slide.svg,SVG,Figure 10,One-slide empirical strategy,slides
